loop = 0
# Time Axis1 Axis2 Axis3 Axis4 Axis5 Axis6 Axis7 Axis8 Axis9 Axis10 Axis11 Axis12
1.94 0.504849 0.752253 0.490859 0.0 0.0 0.0 0.50917 0.999823 0.48287 89.912331 0.362034 -94.860802
1.96 0.506139 0.752278 0.492475 0.0 0.0 0.0 0.51179 0.999853 0.485518 89.587677 0.607858 -95.167923
1.98 0.507562 0.752278 0.493903 0.0 0.0 0.0 0.514642 0.999844 0.488014 89.239639 0.8616 -95.531303
2.0 0.509118 0.752253 0.49514 0.0 0.0 0.0 0.517737 0.999794 0.490353 88.866432 1.123443 -95.951126
2.02 0.510928 0.752199 0.496165 0.0 0.0 0.0 0.520857 0.99971 0.492528 88.545219 1.396231 -96.458199
2.04 0.513101 0.752107 0.496969 0.0 0.0 0.0 0.523809 0.9996 0.494543 88.345604 1.683779 -97.07798
2.06 0.515625 0.751969 0.497555 0.0 0.0 0.0 0.52664 0.999458 0.496412 88.254341 1.987756 -97.802254
2.08 0.51849 0.751778 0.49793 0.0 0.0 0.0 0.529397 0.999275 0.498147 88.258202 2.309708 -98.622536
2.1 0.521683 0.751525 0.498099 0.0 0.0 0.0 0.532127 0.999036 0.49976 88.344032 2.650873 -99.53019
2.12 0.525192 0.751197 0.498069 0.0 0.0 0.0 0.534874 0.998725 0.50126 88.498779 3.011986 -100.516594
2.14 0.529006 0.750784 0.497847 0.0 0.0 0.0 0.537682 0.998322 0.502656 88.709557 3.393159 -101.573212
2.16 0.53311 0.750271 0.497439 0.0 0.0 0.0 0.540595 0.99781 0.50395 88.963722 3.793752 -102.69175
2.18 0.537491 0.749646 0.496853 0.0 0.0 0.0 0.543653 0.997167 0.505146 89.248917 4.212304 -103.864273
2.2 0.542134 0.748894 0.496097 0.0 0.0 0.0 0.546895 0.996377 0.506241 89.553116 4.6465 -105.083359
2.22 0.547026 0.748 0.49518 0.0 0.0 0.0 0.550357 0.995421 0.50723 89.864639 5.093147 -106.342194
2.24 0.552149 0.74695 0.494112 0.0 0.0 0.0 0.554073 0.994284 0.508106 90.172218 5.548229 -107.634712
2.26 0.557488 0.74573 0.492902 0.0 0.0 0.0 0.558076 0.992952 0.508857 90.464966 6.006947 -108.955696
2.28 0.563026 0.744326 0.491563 0.0 0.0 0.0 0.562394 0.991414 0.50947 90.732399 6.463824 -110.300819
2.3 0.568746 0.742723 0.490105 0.0 0.0 0.0 0.567053 0.98966 0.509933 90.964386 6.912795 -111.666809
2.32 0.574628 0.74091 0.488542 0.0 0.0 0.0 0.572077 0.987683 0.510228 91.151115 7.347353 -113.051353
2.34 0.580655 0.738875 0.486886 0.0 0.0 0.0 0.577487 0.985479 0.510339 91.283104 7.760657 -114.453239
2.36 0.586807 0.736606 0.485151 0.0 0.0 0.0 0.583305 0.983044 0.510251 91.351059 8.145673 -115.872223
2.38 0.593064 0.734095 0.483354 0.0 0.0 0.0 0.589546 0.980376 0.509948 91.345909 8.495282 -117.309074
2.4 0.599406 0.731333 0.481508 0.0 0.0 0.0 0.596228 0.977473 0.509413 91.258728 8.802408 -118.765434
2.42 0.605812 0.728314 0.479629 0.0 0.0 0.0 0.603368 0.974335 0.508634 91.080673 9.06008 -120.243721
2.44 0.612261 0.725034 0.477734 0.0 0.0 0.0 0.610979 0.970961 0.507597 90.803001 9.261521 -121.747002
2.46 0.618733 0.721489 0.47584 0.0 0.0 0.0 0.619078 0.967347 0.506291 90.417015 9.400154 -123.278816
2.48 0.625207 0.717678 0.473963 0.0 0.0 0.0 0.627679 0.963488 0.504706 89.914101 9.469601 -124.842987
2.5 0.631662 0.713603 0.472119 0.0 0.0 0.0 0.636798 0.959376 0.502831 89.285698 9.463665 -126.443405
2.52 0.638077 0.709267 0.470327 0.0 0.0 0.0 0.646056 0.955034 0.500468 88.617989 9.331989 -128.02449
2.54 0.644432 0.704675 0.468601 0.0 0.0 0.0 0.655045 0.950494 0.497482 88.003708 9.038728 -129.53447
2.56 0.650708 0.699834 0.466958 0.0 0.0 0.0 0.66374 0.945751 0.493955 87.444084 8.599703 -130.983017
2.58 0.656885 0.694754 0.465414 0.0 0.0 0.0 0.672115 0.940801 0.48997 86.9403 8.030914 -132.379852
2.6 0.662946 0.689446 0.463983 0.0 0.0 0.0 0.680145 0.935638 0.485608 86.493401 7.348467 -133.734558
2.62 0.668872 0.683923 0.462679 0.0 0.0 0.0 0.687803 0.930259 0.480951 86.104347 6.568544 -135.056396
2.64 0.674648 0.678201 0.461515 0.0 0.0 0.0 0.695066 0.924665 0.476083 85.773941 5.707301 -136.354248
2.66 0.680258 0.672295 0.460503 0.0 0.0 0.0 0.701911 0.918857 0.471082 85.502838 4.780811 -137.636383
2.68 0.685689 0.666224 0.459654 0.0 0.0 0.0 0.70832 0.912843 0.466029 85.291443 3.804991 -138.910461
2.7 0.690927 0.660008 0.458976 0.0 0.0 0.0 0.714275 0.906634 0.461001 85.139824 2.795463 -140.183289
2.72 0.695961 0.653667 0.458477 0.0 0.0 0.0 0.719764 0.900246 0.456072 85.047684 1.7675 -141.460876
2.74 0.700782 0.647224 0.458164 0.0 0.0 0.0 0.72478 0.8937 0.451313 85.014221 0.735878 -142.748199
2.76 0.705381 0.640699 0.45804 0.0 0.0 0.0 0.729317 0.887021 0.446791 85.038078 -0.285243 -144.049255
2.78 0.709752 0.634118 0.458108 0.0 0.0 0.0 0.73338 0.880235 0.442567 85.11721 -1.282439 -145.366913
2.8 0.71389 0.627502 0.45837 0.0 0.0 0.0 0.736975 0.873375 0.438699 85.248848 -2.243162 -146.702957
2.82 0.717789 0.620876 0.458825 0.0 0.0 0.0 0.740116 0.866474 0.435234 85.429466 -3.155871 -148.057938
2.84 0.72145 0.614262 0.45947 0.0 0.0 0.0 0.742822 0.859566 0.432216 85.654709 -4.010172 -149.431305
2.86 0.724871 0.607683 0.460302 0.0 0.0 0.0 0.745115 0.852686 0.429678 85.919449 -4.796967 -150.821396
2.88 0.728053 0.601163 0.461314 0.0 0.0 0.0 0.747024 0.845868 0.427649 86.217789 -5.508523 -152.225449
2.9 0.730998 0.594722 0.4625 0.0 0.0 0.0 0.748581 0.839146 0.426145 86.543205 -6.1386 -153.639786
2.92 0.73371 0.588382 0.463852 0.0 0.0 0.0 0.749822 0.832551 0.425178 86.888641 -6.68249 -155.059875
2.94 0.736195 0.582162 0.465358 0.0 0.0 0.0 0.750783 0.826112 0.424749 87.246651 -7.137109 -156.480576
2.96 0.738457 0.57608 0.467008 0.0 0.0 0.0 0.751504 0.819855 0.424852 87.609604 -7.500957 -157.896225
2.98 0.740506 0.570154 0.46879 0.0 0.0 0.0 0.752025 0.813802 0.425474 87.969894 -7.774097 -159.300888
3.0 0.742347 0.564398 0.47069 0.0 0.0 0.0 0.752384 0.807973 0.426594 88.320152 -7.958117 -160.688553
3.02 0.743992 0.558829 0.472694 0.0 0.0 0.0 0.75262 0.802382 0.428185 88.653435 -8.055991 -162.053268
3.04 0.745449 0.553457 0.474787 0.0 0.0 0.0 0.752768 0.797041 0.430213 88.963432 -8.07198 -163.389435
3.06 0.746729 0.548293 0.476954 0.0 0.0 0.0 0.752863 0.791958 0.43264 89.244614 -8.011463 -164.691727
3.08 0.747843 0.543348 0.479179 0.0 0.0 0.0 0.752934 0.787137 0.435424 89.492393 -7.880775 -165.955444
3.1 0.748801 0.538628 0.481445 0.0 0.0 0.0 0.753007 0.782581 0.438519 89.703217 -7.687009 -167.176376
3.12 0.749617 0.53414 0.483737 0.0 0.0 0.0 0.753106 0.77829 0.441876 89.87458 -7.437835 -168.350952
3.14 0.7503 0.529889 0.486038 0.0 0.0 0.0 0.753246 0.77426 0.445445 90.005135 -7.141296 -169.476196
3.16 0.750864 0.525877 0.488331 0.0 0.0 0.0 0.753442 0.770486 0.449174 90.094597 -6.805685 -170.549698
3.18 0.751319 0.522107 0.490601 0.0 0.0 0.0 0.753703 0.766964 0.453014 90.143753 -6.439314 -171.56955
3.2 0.751678 0.518579 0.492832 0.0 0.0 0.0 0.754032 0.763687 0.456912 90.154388 -6.050409 -172.534286
3.22 0.751952 0.515293 0.495008 0.0 0.0 0.0 0.75443 0.760648 0.46082 90.129196 -5.646948 -173.442825
3.24 0.752151 0.512249 0.497114 0.0 0.0 0.0 0.754893 0.757839 0.464689 90.071678 -5.236613 -174.294327
3.26 0.752287 0.509443 0.499135 0.0 0.0 0.0 0.755414 0.755255 0.468475 89.986031 -4.826647 -175.088135
3.28 0.752369 0.506873 0.501058 0.0 0.0 0.0 0.755982 0.752889 0.472132 89.877029 -4.423819 -175.82373
3.3 0.752408 0.504537 0.50287 0.0 0.0 0.0 0.756585 0.750736 0.475622 89.749916 -4.034355 -176.500595
3.32 0.752412 0.502432 0.504557 0.0 0.0 0.0 0.757208 0.748791 0.478907 89.610245 -3.663979 -177.118195
3.34 0.75239 0.500553 0.506107 0.0 0.0 0.0 0.757833 0.74705 0.481951 89.463768 -3.317828 -177.675949
3.36 0.752351 0.498899 0.507509 0.0 0.0 0.0 0.758444 0.745511 0.484724 89.316299 -3.000507 -178.173096
3.38 0.7523 0.497467 0.508753 0.0 0.0 0.0 0.759022 0.744172 0.487196 89.173576 -2.716115 -178.608749
3.4 0.752246 0.496253 0.509828 0.0 0.0 0.0 0.759551 0.743034 0.489343 89.04113 -2.468268 -178.981842
3.42 0.752192 0.495259 0.510725 0.0 0.0 0.0 0.760012 0.742096 0.491139 88.924141 -2.260134 -179.291122
3.44 0.752145 0.494482 0.511435 0.0 0.0 0.0 0.760391 0.741361 0.492566 88.827286 -2.094495 -179.535049
3.46 0.752109 0.493923 0.511951 0.0 0.0 0.0 0.760674 0.740831 0.493604 88.754623 -1.973766 -179.711914
3.48 0.752085 0.493585 0.512264 0.0 0.0 0.0 0.760849 0.74051 0.494237 88.709419 -1.900033 -179.819717
3.5 0.752077 0.493472 0.51237 0.0 0.0 0.0 0.760909 0.740402 0.49445 88.694008 -1.875107 -179.856201
3.52 0.752077 0.493472 0.51237 0.0 0.0 0.0 0.760909 0.740402 0.49445 88.694008 -1.875107 -179.856201
3.54 0.752077 0.493472 0.51237 0.0 0.0 0.0 0.760909 0.740402 0.49445 88.694008 -1.875107 -179.856201
3.56 0.752077 0.493472 0.51237 0.0 0.0 0.0 0.760909 0.740402 0.49445 88.694008 -1.875107 -179.856201
